base_market,quote_market,hedge_ratio,half_life
SNX-USD,XTZ-USD,3.073557460411813,2.0
SNX-USD,ETC-USD,0.13309638416825936,2.0
SNX-USD,ZEC-USD,0.07954128302760743,2.0
SNX-USD,LINK-USD,0.21926649269754417,3.0
SNX-USD,CELO-USD,4.703172263427298,2.0
SNX-USD,FIL-USD,0.6015184961990434,2.0
SNX-USD,YFI-USD,0.00038673429140126327,2.0
SNX-USD,COMP-USD,0.048432365880460536,2.0
SNX-USD,XLM-USD,18.998253527790283,3.0
SNX-USD,SUSHI-USD,3.586430266855791,2.0
SNX-USD,ADA-USD,7.811570647919826,2.0
SNX-USD,BTC-USD,6.68828000917266e-05,2.0
SNX-USD,DOT-USD,0.5256068476216295,2.0
SNX-USD,CRV-USD,4.61923467183267,2.0
SNX-USD,DOGE-USD,32.82012908733636,2.0
SNX-USD,LTC-USD,0.03207133524636361,2.0
SNX-USD,AAVE-USD,0.028115430285615948,2.0
SNX-USD,MATIC-USD,3.6036297405004833,2.0
SNX-USD,1INCH-USD,7.7930290003870395,2.0
SNX-USD,AVAX-USD,0.20854529692107235,2.0
SNX-USD,ETH-USD,0.0012457813970918415,2.0
XTZ-USD,ZEC-USD,0.025885782511720877,9.0
ICP-USD,ENJ-USD,14.499157710997833,13.0
ICP-USD,SUSHI-USD,5.81125281042879,14.0
ICP-USD,1INCH-USD,12.623328808858236,19.0
ETC-USD,ZEC-USD,0.59752432027782,7.0
ETC-USD,CELO-USD,35.298080366601255,20.0
ETC-USD,YFI-USD,0.0029020338927811112,15.0
ETC-USD,COMP-USD,0.36348660735013294,14.0
ETC-USD,XLM-USD,142.76920174364253,6.0
ETC-USD,SUSHI-USD,26.92085385387434,12.0
ETC-USD,DOT-USD,3.9441097095092723,23.0
ETC-USD,LTC-USD,0.24090913486724766,4.0
ETC-USD,ETH-USD,0.009349504468845716,19.0
ZEC-USD,CELO-USD,59.07381423467267,15.0
ZEC-USD,SUSHI-USD,45.0479716461229,9.0
ZEC-USD,ADA-USD,98.05389928673225,24.0
ZEC-USD,DOT-USD,6.600252949552093,17.0
ZEC-USD,DOGE-USD,412.00451956055497,24.0
ZEC-USD,1INCH-USD,97.88823143574491,13.0
ZEC-USD,ETH-USD,0.015646381254618754,14.0
ATOM-USD,XLM-USD,61.8295967243335,21.0
ATOM-USD,ALGO-USD,70.44291820313062,5.0
ATOM-USD,SUSHI-USD,11.6681470458457,7.0
ATOM-USD,CRV-USD,15.024947493680983,15.0
ATOM-USD,AVAX-USD,0.6776835971174553,18.0
CELO-USD,FIL-USD,0.12781805268038676,12.0
CELO-USD,COMP-USD,0.010294429672242717,10.0
CELO-USD,XLM-USD,4.041704639676894,23.0
CELO-USD,SUSHI-USD,0.762518827538823,8.0
CELO-USD,DOT-USD,0.11172174192124476,6.0
CELO-USD,DOGE-USD,6.973456912437652,15.0
CELO-USD,LTC-USD,0.006820654157264842,19.0
ENJ-USD,SUSHI-USD,0.3999690690756091,15.0
FIL-USD,YFI-USD,0.0006428923215862205,8.0
FIL-USD,BTC-USD,0.00011112156928091662,16.0
FIL-USD,DOT-USD,0.8737596103617602,9.0
FIL-USD,1INCH-USD,12.957274126040137,11.0
FIL-USD,ETH-USD,0.0020710026599450168,12.0
ZRX-USD,UMA-USD,0.16469797149117543,9.0
TRX-USD,XMR-USD,0.0005781713516387001,16.0
TRX-USD,SUSHI-USD,0.155274821660503,17.0
YFI-USD,COMP-USD,125.22976301300515,6.0
YFI-USD,XLM-USD,49160.383546558936,20.0
YFI-USD,SUSHI-USD,9272.283497163573,9.0
YFI-USD,DOT-USD,1358.8821278821792,7.0
YFI-USD,LTC-USD,82.97140770106509,16.0
YFI-USD,MATIC-USD,9307.687437612392,23.0
YFI-USD,ETH-USD,3.221039298962343,8.0
COMP-USD,XLM-USD,392.5781009014338,16.0
COMP-USD,SUSHI-USD,74.04013962834708,9.0
COMP-USD,ADA-USD,161.1837300312127,14.0
COMP-USD,LTC-USD,0.6625102547105868,13.0
COMP-USD,1INCH-USD,160.9023906493076,9.0
XLM-USD,ALGO-USD,1.1383328047664636,20.0
XLM-USD,SUSHI-USD,0.18853228899206173,12.0
XLM-USD,LTC-USD,0.0016871712081522512,8.0
XLM-USD,1INCH-USD,0.4095857608978548,20.0
XLM-USD,ETH-USD,6.547118350109664e-05,22.0
EOS-USD,ALGO-USD,5.939148176280349,16.0
NEAR-USD,SUSHI-USD,1.8907038739249158,12.0
NEAR-USD,AVAX-USD,0.10988622599956976,13.0
ALGO-USD,XMR-USD,0.0006159082076493779,21.0
ALGO-USD,SUSHI-USD,0.16559198462873187,9.0
ALGO-USD,DOGE-USD,1.5137427893182172,24.0
XMR-USD,SUSHI-USD,268.6089705242809,14.0
SUSHI-USD,ADA-USD,2.174630945872062,8.0
SUSHI-USD,BTC-USD,1.860931669207008e-05,13.0
SUSHI-USD,DOT-USD,0.14637634181145232,8.0
SUSHI-USD,CRV-USD,1.2867501093003408,11.0
SUSHI-USD,DOGE-USD,9.134916335044405,9.0
SUSHI-USD,LTC-USD,0.008934802888930901,11.0
SUSHI-USD,AAVE-USD,0.007810459448128273,18.0
SUSHI-USD,MATIC-USD,1.002347976262969,11.0
SUSHI-USD,1INCH-USD,2.1705185366082906,8.0
SUSHI-USD,AVAX-USD,0.05805727337547338,8.0
SUSHI-USD,ETH-USD,0.00034687944897334334,9.0
ADA-USD,AVAX-USD,0.026692342364541453,7.0
UMA-USD,DOT-USD,0.3585073280727123,15.0
UMA-USD,CRV-USD,3.154833893542037,9.0
UMA-USD,DOGE-USD,22.381244222289958,17.0
UMA-USD,1INCH-USD,5.318286071261012,14.0
UMA-USD,AVAX-USD,0.14211246817915651,19.0
BTC-USD,DOT-USD,7856.175371539408,24.0
BTC-USD,AAVE-USD,419.8141168368646,13.0
BTC-USD,MATIC-USD,53839.84215876661,11.0
BTC-USD,1INCH-USD,116528.54329906995,21.0
DOT-USD,LTC-USD,0.061045891917560144,20.0
DOT-USD,AAVE-USD,0.05337712078878738,22.0
DOT-USD,MATIC-USD,6.848750299503073,18.0
DOT-USD,1INCH-USD,14.827659348022333,10.0
DOT-USD,ETH-USD,0.0023699555909606857,11.0
LTC-USD,1INCH-USD,242.77742223651433,17.0
AAVE-USD,MATIC-USD,128.03042414210964,14.0
AAVE-USD,1INCH-USD,276.7485104896109,19.0
AAVE-USD,ETH-USD,0.04422933372492747,23.0
MATIC-USD,1INCH-USD,2.1633646370574993,15.0
MATIC-USD,ETH-USD,0.0003457677225236813,22.0
1INCH-USD,AVAX-USD,0.026733825118542623,14.0
1INCH-USD,ETH-USD,0.0001597870773207828,11.0
