base_market,quote_market,hedge_ratio,half_life
SNX-USD,XTZ-USD,3.0635185831534795,11.0
SNX-USD,ZEC-USD,0.08552177108246001,16.0
SNX-USD,FIL-USD,0.59926192256429,12.0
SNX-USD,COMP-USD,0.049704704289211865,5.0
SNX-USD,EOS-USD,3.7082308601410037,7.0
SNX-USD,ALGO-USD,21.057846402003726,22.0
SNX-USD,ADA-USD,7.3994703185926705,24.0
SNX-USD,BTC-USD,6.955058366260315e-05,23.0
SNX-USD,CRV-USD,4.572950853106369,18.0
SNX-USD,DOGE-USD,34.31058402735075,12.0
SNX-USD,LTC-USD,0.03465364529690902,14.0
SNX-USD,AAVE-USD,0.026961629713193776,12.0
SNX-USD,UNI-USD,0.5213345453663103,20.0
SNX-USD,1INCH-USD,7.478668855284367,16.0
SNX-USD,ETH-USD,0.0013028452336477704,17.0
XTZ-USD,FIL-USD,0.1955757451463317,7.0
XTZ-USD,COMP-USD,0.01621754247678914,6.0
XTZ-USD,EOS-USD,1.2099509466877718,10.0
XTZ-USD,DOT-USD,0.1692978916720676,7.0
XTZ-USD,CRV-USD,1.4925228295456996,10.0
XTZ-USD,DOGE-USD,11.191485373686318,20.0
XTZ-USD,AAVE-USD,0.008798928416634452,10.0
XTZ-USD,UNI-USD,0.1701688536373172,15.0
XTZ-USD,AVAX-USD,0.06380283776242411,14.0
ICP-USD,DOT-USD,0.8515635013586649,20.0
ICP-USD,AAVE-USD,0.04426511579574667,16.0
ICP-USD,AVAX-USD,0.32076345101397463,20.0
ETC-USD,FIL-USD,4.371835477467815,14.0
ETC-USD,ETH-USD,0.0095078171425023,15.0
ZEC-USD,ENJ-USD,100.6048278649528,20.0
ZEC-USD,TRX-USD,291.23588428216453,11.0
ZEC-USD,COMP-USD,0.5805000149267312,17.0
ZEC-USD,EOS-USD,43.324990315229265,10.0
ZEC-USD,UMA-USD,18.05863822233423,15.0
ZEC-USD,BTC-USD,0.0008132142631549152,7.0
ZEC-USD,DOGE-USD,400.9847547540634,11.0
ZEC-USD,LTC-USD,0.40512036519138406,5.0
ZEC-USD,AAVE-USD,0.31478300768406786,23.0
ZEC-USD,AVAX-USD,2.2789297941108058,22.0
ZEC-USD,ETH-USD,0.015223720394556228,15.0
ATOM-USD,DOT-USD,1.722572951456938,9.0
BCH-USD,CELO-USD,450.47314136005843,24.0
BCH-USD,TRX-USD,2454.266022261981,24.0
BCH-USD,XMR-USD,1.4388062627442664,16.0
ENJ-USD,LTC-USD,0.004019442377132859,22.0
RUNE-USD,ADA-USD,9.887893595432319,23.0
RUNE-USD,UNI-USD,0.696219548961877,22.0
RUNE-USD,1INCH-USD,9.994501519350807,17.0
FIL-USD,COMP-USD,0.08289402178401264,6.0
FIL-USD,EOS-USD,6.182721720526733,15.0
FIL-USD,DOT-USD,0.8653692699739571,8.0
FIL-USD,MATIC-USD,5.799219115448659,17.0
FIL-USD,1INCH-USD,12.48185965186731,7.0
COMP-USD,EOS-USD,74.58406814082329,7.0
COMP-USD,ADA-USD,148.85125307672538,16.0
COMP-USD,UMA-USD,31.10509337957258,7.0
COMP-USD,BTC-USD,0.0013987108188869665,19.0
COMP-USD,DOT-USD,10.432911722914,10.0
COMP-USD,CRV-USD,91.98744937861949,12.0
COMP-USD,DOGE-USD,690.0588778322228,11.0
COMP-USD,LTC-USD,0.69693263390287,16.0
COMP-USD,UNI-USD,10.486990324455714,18.0
COMP-USD,MATIC-USD,69.9083444196288,23.0
COMP-USD,1INCH-USD,150.47007639971318,14.0
COMP-USD,AVAX-USD,3.9306457609730012,14.0
COMP-USD,ETH-USD,0.026205573698052785,11.0
XLM-USD,NEAR-USD,0.08426782541306624,23.0
EOS-USD,ALGO-USD,5.676682864256473,20.0
EOS-USD,DOT-USD,0.1398071260185893,15.0
EOS-USD,CRV-USD,1.2326471536162815,17.0
EOS-USD,DOGE-USD,9.250411539333157,11.0
EOS-USD,LTC-USD,0.0093450406478278,10.0
EOS-USD,AAVE-USD,0.007268253922904046,13.0
EOS-USD,AVAX-USD,0.052653205504217745,17.0
NEAR-USD,SUSHI-USD,1.561214705869562,24.0
ALGO-USD,DOT-USD,0.024616170272809497,9.0
ADA-USD,CRV-USD,0.6176046414724993,10.0
ADA-USD,UNI-USD,0.07043176645032347,8.0
ADA-USD,1INCH-USD,1.0105683363804847,5.0
UMA-USD,BTC-USD,4.492388591903407e-05,17.0
UMA-USD,DOT-USD,0.3350968542763345,14.0
UMA-USD,CRV-USD,2.9545178957950866,13.0
UMA-USD,DOGE-USD,22.166407769031736,10.0
UMA-USD,UNI-USD,0.33671403650317216,15.0
UMA-USD,MATIC-USD,2.2450256105747575,19.0
UMA-USD,1INCH-USD,4.83146180190573,12.0
UMA-USD,AVAX-USD,0.12635330346189075,17.0
UMA-USD,ETH-USD,0.0008418232115849392,11.0
DOT-USD,CRV-USD,8.814939362611675,9.0
DOT-USD,UNI-USD,1.0049862689112754,11.0
DOT-USD,1INCH-USD,14.415795067477907,10.0
CRV-USD,UNI-USD,0.11398352069963791,8.0
DOGE-USD,LTC-USD,0.0010098262344933858,13.0
DOGE-USD,AVAX-USD,0.005686991177351235,19.0
DOGE-USD,ETH-USD,3.795524988710514e-05,19.0
LTC-USD,AAVE-USD,0.7770574939245112,23.0
LTC-USD,ETH-USD,0.03757447117276257,22.0
AAVE-USD,UNI-USD,19.323261959665516,14.0
UNI-USD,1INCH-USD,14.341867901315576,7.0
